sorted by date of first known start

name         | authors                  | status                   | technology, goals
------------- -------------------------- -------------------------- ------------------
bsnes-qt     | unknown (Themaister?)    | abandoned or canceled    | based on bsnes v070, used libsnes
SSNES        | Themaister, Squarepusher | renamed, now RetroArch   | used libsnes
lsnes        | someone from TASVideos?  | released, active?        | started as libsnes, unknown if it got upgraded
LMSW         | Alcaro                   | released, abandoned      | plugin for a level editor
             |                          |                          | http://s373.photobucket.com/user/alcaroops/media/clip0003.mp4.html
RetroArch    | Squarepusher, Themaister | released, active         | most fully featured, main driver for libretro expansions,
             |                          |                          |  most supported platforms, focused on HTPC-style setups
XBMC /       | garbear, others          | beta, active             | built inside a video player
 RetroPlayer |                          |                          |  (but ffmpeg is a video player in libretro, so it's fair)
ZMZ          | Alcaro                   | released, abandoned      | based on ZSNES' GUI
minir        | Alcaro                   | active                   | win32/gtk3/other?, focused on WIMP setups
nameless     | mudlord                  | canceled?                | WTL, statically linked core
nameless     | 4chan                    | no recent news,          | unknown
             |                          |  nor any news at all     |
nameless     | kekun                    | no recent news           | gtk3 only
Arcan        | letoram                  | active?                  | seems to be an entire window manager
Phoenix      | Druage, athairus, others | active                   | Qt5, was previously a RetroArch launcher named Pantheon
Anarchy-     | ?                        | active                   | ? (seems focused on virtual reality setups)
 Arcade      |  (calls himself AArcade) |                          |
